episode_name,date,loves,episode_number,comments_count,comment_username,comment_description,comment_likes,comment_dislikes,reply_username,reply_description,reply_likes,reply_dislikes
A Safe Place,"Apr 2, 2021",240,#119,11,astral.distress👻,I love how this is all tying in!! & I relate so hard with wanting to help somebody survive the pandemic- but not being willing to endanger my own safety to do it 😣😣 This whole thing sure has brought out the worst in a lot of people... & the fear that comes along with being in a high risk category seems to be making all of us feel constantly on edge.,9,0,TESTED ( YGetIt.org),Thanks for the LOVE!!,4,0
POW!!!,"Mar 26, 2021",259,#118,16,sausage172000,Good for her.,4,0,TESTED ( YGetIt.org),Thank YOU!,7,0
BANG!!!,"Mar 19, 2021",271,#117,12,Intentar,"So glad that Jo has a kind and supportive friend who’s able to provide a safe place to stay! And Jo can still take care of the crappy dad, which is so selfless and considerate...",10,0,Shamrocking It!,"I like the message that it's teaching. that sometimes ""home"" isn't safe, but that doesn't mean I support the character's abusive parent. I hope they can stay somewhere safe and this is a serious topic to cover.",11,0
Back Home,"Mar 12, 2021",286,#116,6,ChaLucien,YESSSSS,3,0,ChaLucien,"yeah, I mostly ""like"" some pages for the support to the comic, witch is doing a wonderful job on many serious topics",6,0
GOT VACCINATED?,"Mar 8, 2021",348,#115,19,Jaeden_Dragon,I’m glad she has a safe place 🤍,13,0,WillowWhip,It is,0,0
World AIDS Day 2020,"Dec 1, 2020",295,#114,8,swenyar,Hello ^^ Your comic has been promoted by @comic_support on Twitter. Your comic is great! Keep up the good work.,12,0,astral.distress👻,"1000%!! Between the experiments done on black Americans, the medical violence committed on black & indigenous communities, & the history of healthcare bias toward the white male body- it’s hard to trust anything they offer, & it’s smart to question & educate! My justification for the Covid vaccine is that they gave it to the rich white folks in Congress first, haha... But the research really is there- & hopefully most people will find the info needed to make that informed decision 🙏",1,0
VOTE VOTE VOTE VOTE!,"Nov 2, 2020",331,#113,23,LilyRiv,also author your world is so connected and real.,19,0,astral.distress👻,"You’re totally valid for feeling that way- & it’s difficult to talk about without sounding like an anti-vaxxer!! I’m on the other end of that spectrum: high risk for Covid complications, would much rather take my chances with a vaccine... But I’ve never reacted badly to one beyond temporary side effects. If I’d had a long-term vaccine injury, I would need to look into why & make an informed choice too! I need the people around me to get vaccinated- but only you know your own situation 💕",2,1
Meth and Sex,"Oct 23, 2020",340,#112,9,LilyRiv,Glad she has shelter </3 it's so hard - love doesnt always stop with the pain,22,0,Lucazu,"I'm not taking the vaccine either. I'm very suspicious of it. Not anti-vax either but this one, I just dunno, bad feeling about the whole thing. It's definitely ok to be wary and have concerns :) I think we should respect those who want the vaccine and likewise respect the desicion of those who don't want it. For a doctor to call you 'dumb' it's very unproffessional of them.",1,1
VOTE!!!!!!,"Oct 14, 2020",323,#111,13,Rayne11037,It’s so nice to know that she has a safe place,37,0,astral.distress👻,"My state isn’t even offering access to at-risk people yet!! Caregivers of at-risk people, yes; but so far only caregivers, medical workers, & people over 65 have been called... I’m praying for my group to come up soon- & my doctor told me I have an 80% chance of “worst possible outcome” with Covid infection, so I’ve been quarantined alone for a year now. I truly hope that everyone who wants it can receive access soon 🙏🙏",0,0
Back to School Special,"Sep 29, 2020",364,#110,15,The_Wacky_Cartoonist,That was pretty dumb of him to hit his child in front of an entire class.,65,0,TESTED ( YGetIt.org),Thanks for the love! We actually tackled mental health over the summer in episode #87 and #91. We’ll be back soon with Season 7 and much more. Also check out our website for mental health resource at www.YGetIt.org.,1,0
Resolution,"Sep 8, 2020",376,#109,13,Yut Lung Lee_81,"I don't think it's safe for her (or them, I'm sorry if it offends anyone, Idk their pronouns) to leave that house.... don't wanna see them getting hurt. and let's see how he survives without having them to take care of him 😒",63,0,TESTED ( YGetIt.org),Thanks for checking in. We’re in the lab making more Tested! We hope you’re safe and well also.,2,0
Lets Go a Little Deeper,"Aug 31, 2020",366,#108,11,ChaLucien,I really hope someone from class can give them shelter and support.,49,0,Jaeden_Dragon,🥺😭❤️ aww thank you. You as well. 💜✨,1,0
A Little Background,"Aug 24, 2020",364,#107,15,Intentar,Yikes!!!,0,0,NekoMuffin,"If they're convinced that voting doesn't matter, remember the only thing that's more useless is not voting. Our apathy is Their greatest weapon. I know it can be a struggle to give a damn when there's just too much going wrong, but ya gotta. Or you're playing right into their hands.",2,0
PISSSSSEEEDDD,"Aug 17, 2020",379,#106,30,verahria1,I would have let him die,0,0,NekoMuffin,My mom was an election judge all my life til she moved states 🥰 Thanks for helping out!,2,0
Didn't Get the Message,"Aug 10, 2020",395,#105,17,animegirl11012,Ngl I wouldn't have gotten him his inhaler after he gave me a bloody nose.,5,0,ooga__booga,"it’s the least i can do, i want everyone to have the same rights that they should have at birth, and this could help!!",1,0
Pump the Breaks,"Aug 3, 2020",382,#104,10,Sabinchen,"O gosh, what kind of a person is he if a name is more important for him than his own child.",2,0,astral.distress👻,"Good job! I know from experience that it isn’t an easy process, & I’m so glad you got it figured out! I live in a place now where all voting has been mail-in voting since at least the 80’s... & I work with a program that makes sure the homeless population also get their ballots (sent to PO Boxes, & delivered to the area they stay in) & get them sent back in on time... We’ve reached tens of thousands of unhoused adults this year! It’s a good system, it works- just takes a bit more manpower ❤️❤️",2,0
Yoga,"Jul 27, 2020",400,#103,9,Rayne11037,Nooo this makes me so sad for her :(((,1,0,astral.distress👻,"The efforts to dissuade the marginalized & the elderly from voting this year (& to hobble the US postal service) have been awful to watch, but I’m hoping that the people keeping an eye on it have ironed out the majority of the kinks 😣😣 But mail-in ballots really can be the best way to reach the most citizens (especially in a pandemic), if everyone can just try to come together & look out for each other.",2,0
First Time Again,"Jul 20, 2020",363,#102,12,【hi • i’m • weeb】,Dude wtf I hope your milk curdles,3,0,NekoMuffin,Thank you both for your efforts!!,1,0
A Chat with Friends,"Jul 13, 2020",390,#101,9,weabtale,bouta unplug a man's ventilater over here 😀,12,0,squidling🦑,I don't think there's a whole lot you can do except stay home,4,0
A Check-In with the Kids,"Jul 10, 2020",427,#100,24,IHatePopUps,"She didn’t ASK for your name, ya jackwagon!",6,0,NekoMuffin,"There may well be. Tensions are high, people are extremely emotional. This year has been a doozy, and the three before it weren't a cakewalk for most folk either. Do what you can to be safe, and try not to get caught up in the frenzy if things get wild around you. Have a plan to evacuate if necessary.",3,0
Further Escalation,"Jul 6, 2020",424,#99,16,Cat Got Your Eyes,"this man is going to die, I'm calling it",4,0,The_Wacky_Cartoonist,"I think you meant ""let them know"".",1,0
